Sp,Lon,Lat
Promops centralis,-61.36,10.64
Promops centralis,-88.0936,21.3548
Promops centralis,-88.0936,21.3548
Promops centralis,-88.0936,21.3548
Promops centralis,-88.0936,21.3548
Promops centralis,-88.0936,21.3548
Promops centralis,-88.0936,21.3548
Promops centralis,-88.0936,21.3548
Promops centralis,-81.20233,-4.52811
Promops centralis,-75.02904,4.279886
Promops centralis,-89.6123,21.01781
Promops centralis,-65.78,7.5
Promops centralis,-92.449391,16.7432
Promops centralis,-92.449391,16.7432
Promops centralis,-103.882873,19.134743
Promops centralis,-103.882873,19.134743
Promops centralis,-90.316673,15.1
Promops centralis,-77.281111,1.213611
Promops centralis,-61.3667,10.6333
Promops centralis,-57.6667,-25.2667
Promops centralis,-57.6667,-25.2667
Promops centralis,-57.6667,-25.2667
Promops centralis,-57.1501,-23.4167
Promops centralis,-57.0667,-25.0695
Promops centralis,-57.0667,-25.0695
Promops centralis,-59,-23.36667
Promops centralis,-57.6667,-25.2667
Promops centralis,-59.45,-18.2
Promops centralis,-59.45,-18.2
Promops centralis,-96.4539213,16.92296775
Promops centralis,-96.4539213,16.92296775
Promops centralis,-96.4539213,16.92296775
Promops centralis,-96.4539213,16.92296775
Promops centralis,-96.4539213,16.92296775
Promops centralis,-96.4539213,16.92296775
Promops centralis,-79.43333,-0.3
Promops centralis,-58.124332,-26.632334
Promops centralis,-56.849667,-26.077333
Promops centralis,-89.621376,20.968178
Promops centralis,-99.796669,16.871111
Promops centralis,-89.621376,20.968178
Promops centralis,-89.621376,20.968178
Promops centralis,-89.621376,20.968178
Promops centralis,-89.621376,20.968178
Promops centralis,-89.621376,20.968178
Promops centralis,-89.621376,20.968178
Promops centralis,-89.621376,20.968178
Promops centralis,-89.621376,20.968178
Promops centralis,-85.866669,11.32274
Promops centralis,-61.366669,10.63333
Promops centralis,-61.366669,10.63333
Promops centralis,-61.366669,10.63333
Promops centralis,-61.366669,10.63333
Promops centralis,-61.366669,10.63333
Promops centralis,-61.366669,10.63333
Promops centralis,-61.366669,10.63333
Promops centralis,-59.45,-18.2
Promops centralis,-59.45,-18.2
Promops centralis,-66.17,0.85
Promops centralis,-61.77,-14.94
Promops centralis,-104.4986676,20.29594457
Promops centralis,-80.060859,-4.515465
Promops centralis,-80.060859,-4.515465
Promops centralis,-80.060859,-4.515465
Promops centralis,-76,-9.137566
Promops centralis,-76,-9.137566
Promops centralis,-80.060859,-4.515465
Promops centralis,-80.060859,-4.515465
Promops centralis,-80.060859,-4.515465
Promops centralis,-58.5,-23.5
Promops centralis,-58.5,-23.5
Promops centralis,-58.5,-23.5
Promops centralis,-58.5,-23.5
Promops centralis,-58.5,-23.5
Promops centralis,-58.5,-23.5
Promops centralis,-58.5,-23.5
Promops centralis,-58.5,-23.5
Promops centralis,-90.316673,15.1
Promops centralis,-59.43794,3.38333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-79.76667,-5.983333
Promops centralis,-81.15889,-4.56639
Promops centralis,-81.15889,-4.56639
Promops centralis,-81.15889,-4.56639
Promops centralis,-79.633331,-0.166667
Promops centralis,-80.154549,0.76364
Promops centralis,-79783,-5841
Promops centralis,-79683,-6.2
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5903
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-79783,-5841
Promops centralis,-76.4,-13083
Promops centralis,-76.4,-13083
Promops centralis,-61.25,10.5
Promops centralis,-61517,10.65
Promops centralis,-61.25,10.5
Promops centralis,-61.55,10667
Promops centralis,-77.2811111,1.2136111
Promops centralis,-61.25,10.5
Promops centralis,-58.213824,-26.172073
Promops centralis,-63.209556,-18.088972
Promops centralis,-63.437727,-17.901989
Promops centralis,-59.75477,-18.341996
Promops centralis,-73.661389,-7.448611
Promops centralis,-61.766667,-1.816667
Promops centralis,-46.851051,-1.02894
Promops centralis,-56.526479,-19.07943
Promops centralis,-76.621787,2.434069
Promops centralis,-75.375085,6.144837
Promops centralis,-85.594167,10.173333
Promops centralis,-90.384253,15.465059
Promops centralis,-90.312119,15.099152
Promops centralis,-52.92387,5.274118
Promops centralis,-59.566667,3.35
Promops centralis,-85.682721,15.567824
Promops centralis,-89.614908,21.016039
Promops centralis,-89.563639,21.004617
Promops centralis,-95.24233,16.322699
Promops centralis,-111.599222,28.833636
Promops centralis,-73.276927,-3.797326
Promops centralis,-72.951319,-11.588641
Promops centralis,-73.75,-4.916667
Promops centralis,-54.415517,5.68912
Promops centralis,-61.36519,10.645658
Promops centralis,-61.315444,10.285619
Promops centralis,-61.446275,10.285724
Promops centralis,-56.458425,-30.402828
Promops centralis,-67.685238,10.349316
Promops centralis,-66.88739,10.486118
Promops centralis,-63.122703,8.917434
Promops centralis,-85.864364,11.232998
Promops centralis,-37.267233,-6.574867
Promops centralis,-37.280222,-8.48725
Promops centralis,-34.98295,-6.495533
Promops centralis,-44.86656,-21.167587
Promops centralis,-34.923733,-8.127283
Promops centralis,-40.305972,-20.281306
Promops centralis,-46.140293,-14.522409
Promops centralis,-48.254167,-10.04555
Promops centralis,-50.25,-29.25
Promops centralis,-43.629429,-19.283794
Promops centralis,-73.83508,3.82747
Promops centralis,-73.80407,3.80906
Promops centralis,-73.80655,3.8102
Promops centralis,-73.80837,3.81493
Promops centralis,-73.80407,3.81597
Promops centralis,-73.81902,3.82085
Promops centralis,-73.81908,3.82162
Promops centralis,-73.80407,3.80906
Promops centralis,-73.63488,4.14609
Promops centralis,-73.63488,4.14609
Promops centralis,-74.21607,4.68224
Promops centralis,-73.5157065,5.6435005
Promops centralis,-68.39041,5.56782
Promops centralis,-73.58231,4.07272
Promops centralis,-73.51573,5.64364
Promops centralis,-71.29394,5.66272
Promops centralis,-71.28692,5.67239
Promops centralis,-71.23469,5.71981
Promops centralis,-71.22736,5.71017
Promops centralis,-52,4.933333
Promops centralis,-46.766667,-1.05
Promops centralis,-66,7.316667
Promops centralis,-71,8.533333
Promops centralis,-76.4,0.6833
Promops centralis,-73.65,7.433333
Promops centralis,-62.516667,-19.4333
Promops centralis,-57.66667,-22.283333
Promops centralis,-56.43333,-25.75
Promops centralis,-59.36667,-26.46667
Promops centralis,-60.033333,-18.31667
Promops centralis,-73.67444444,-7.443333333
Promops centralis,-73.66138889,-7.448611111
Promops centralis,-73.70138889,-7.506111111
Promops centralis,-65.8475,7.525833333
