Sp,Lon,Lat
Promops nasutus,-51.864167,-29.799722
Promops nasutus,-68.521754,5.619843
Promops nasutus,-40.600278,-19.935556
Promops nasutus,-40.600278,-19.935556
Promops nasutus,-66.18,5.35
Promops nasutus,-66.18,5.35
Promops nasutus,-61.43,5.98
Promops nasutus,-59.43794,3.38333
Promops nasutus,-59.43794,3.38333
Promops nasutus,-59.43794,3.38333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.51666,2.83333
Promops nasutus,-59.93333,2.58333
Promops nasutus,-64.3,-17.57
Promops nasutus,-77.8,-10.67
Promops nasutus,-77.8667,-1.2667
Promops nasutus,-62.344166,-22.452667
Promops nasutus,-62.344166,-22.452667
Promops nasutus,-62.344166,-22.452667
Promops nasutus,-60.484718,-21.98444
Promops nasutus,-67.433327,8.52647
Promops nasutus,-67.433327,8.52647
Promops nasutus,-67.433327,8.52647
Promops nasutus,-67.433327,8.52647
Promops nasutus,-67.433327,8.52647
Promops nasutus,-67.433327,8.52647
Promops nasutus,-63.000,-17.45
Promops nasutus,-64.000,-17.566667
Promops nasutus,-56.916698,-25.6667
Promops nasutus,-45.533333,-11.033334
Promops nasutus,-45.533333,-11.033334
Promops nasutus,-45.533333,-11.033334
Promops nasutus,-45.533333,-11.033334
Promops nasutus,-45.533333,-11.033334
Promops nasutus,-79.539388,-5.390633
Promops nasutus,-74.83185,3.99285
Promops nasutus,-73.63488,4.14609
Promops nasutus,-73.19869,6.81308
Promops nasutus,-73.00382,6.79228
Promops nasutus,-61.517,10.65
Promops nasutus,-55.16667,5.83333
Promops nasutus,-59.66667,-20
Promops nasutus,-48.3,-18.93333
Promops nasutus,-47.083333,-22.9
Promops nasutus,-55.88333,-27.38333
Promops nasutus,-62.18333,-27.633333
Promops nasutus,-64.16667,-31.41667
Promops nasutus,-66.23333,-28.8
Promops nasutus,-66.18333,-25.1
Promops nasutus,-64.7,-23.0667
Promops nasutus,-65.76667,-7.667
Promops nasutus,-37.274442,-7.478889
Promops nasutus,-40.003334,-18.996649
Promops nasutus,-40.6002778,-19.9355556
Promops nasutus,-40.01191,-19.019578
Promops nasutus,-49.888889,-29.551389
Promops nasutus,-51.131389,-29.669444
Promops nasutus,-43.366667,-21.716667
Promops nasutus,-53.491389,-30.512217
Promops nasutus,-34.875,-8.125
Promops nasutus,-35.184631,-6.085556
Promops nasutus,-60.672786,2.824628
Promops nasutus,-50.5,-30.25
Promops nasutus,-51.131389,-29.669444
Promops nasutus,-40.600278,-19.935556
Promops nasutus,-66.18,5.35
Promops nasutus,-66.1,5.35
Promops nasutus,-47.06,-22.9
Promops nasutus,-51.8644,-29.8001
Promops nasutus,-49.083301,-22.3167
Promops nasutus,-51.1498,-29.7645
Promops nasutus,-51.8644,-29.8001
Promops nasutus,-48.5342,-25.8187
Promops nasutus,-48.775002,-22.018299
Promops nasutus,-40.003334,-18.996649
Promops nasutus,-40.01191,-19.019578
Promops nasutus,-79.539388,-5.390633
