rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
1,L,rm.1_fc.L,0.645434047619048,0.903,0.208823295279084,0.108161407438443,0.492733339003854,0.14425568043394,0.1045,0.524842516062358,0.332815734989648,0.287893267367667,0.0574534161490683,0.0701570139745649,2281.21967263571,0,0.339958265711404,7
2,L,rm.2_fc.L,0.644554761904762,0.897,0.213734875196034,0.118638564527638,0.474838790063009,0.135319603419867,0.0835,0.381348921592811,0.380434782608696,0.288007396032519,0.0942028985507246,0.160732413136368,2282.36420099082,1.14452835510929,0.191820240219019,7
3,L,rm.3_fc.L,0.643782857142857,0.887,0.211272223667858,0.135306286742727,0.462337437155405,0.130783248959595,0.02075,0.442445759387521,0.392339544513458,0.286391112797672,0.0714285714285714,0.142857142857143,2284.33151775736,3.11184512164618,0.0717293710172356,7
4,L,rm.4_fc.L,0.638997619047619,0.876,0.198831306847288,0.148311360382279,0.45925070192814,0.12277657527395,-0.03725,0.533751736921452,0.369783153536014,0.253558729872016,0.0714285714285714,0.142857142857143,2287.11923200101,5.89955936529714,0.0177972362701269,7
5,L,rm.5_fc.L,0.630457619047619,0.888,0.189316863745371,0.149509672174125,0.457776951794475,0.107826551657705,0.04675,0.502103823924893,0.301460172169554,0.255606697894725,0.0714285714285714,0.142857142857143,2289.97151882122,8.75184618551293,0.00427549450512278,7
6,L,rm.6_fc.L,0.625962023809524,0.889,0.183508141806209,0.141369149801067,0.460952367471699,0.0996211710433273,0.08825,0.417685188469338,0.246077149395227,0.227121101324692,0.0714285714285714,0.142857142857143,2291.27976272309,10.0600900873856,0.00222282257498707,7
7,L,rm.7_fc.L,0.620232142857143,0.868,0.171993159920309,0.140437305480509,0.469756234770443,0.098217005218384,0.136,0.389586960767426,0.235207584177836,0.260778097628601,0.0595238095238095,0.119047619047619,2292.82915111454,11.6094784788279,0.00102437597544981,7
8,L,rm.8_fc.L,0.617366547619048,0.873,0.151864161569956,0.143731805794982,0.484715142116729,0.0999169385324628,0.10825,0.359978124335355,0.226844284624605,0.234456000499215,0.0714285714285714,0.142857142857143,2288.98401994335,7.76434730763822,0.00700517532725936,5
9,L,rm.9_fc.L,0.615663214285714,0.897,0.122238003438166,0.153237864544484,0.505574507276407,0.106455514165353,0.1,0.402663631335138,0.215974719407214,0.207652417051064,0.0714285714285714,0.142857142857143,2287.40932621616,6.1896535804467,0.0153942809250978,4
10,L,rm.10_fc.L,0.612504285714286,0.898,0.156349569664623,0.124355082918561,0.529163023156514,0.135486301407459,0.043,0.357382148406996,0.215974719407214,0.207652417051064,0.0714285714285714,0.142857142857143,2288.16602448995,6.9463518542434,0.0105449485522936,4
