rm,fc,tune.args,auc.train,cbi.train,auc.diff.avg,auc.diff.sd,auc.val.avg,auc.val.sd,cbi.val.avg,cbi.val.sd,or.10p.avg,or.10p.sd,or.mtp.avg,or.mtp.sd,AICc,delta.AICc,w.AIC,ncoef
1,L,rm.1_fc.L,0.696668510638298,0.676,0.147321232793665,0.194827150959966,0.643100435436643,0.184294340527995,0.41325,0.495508072588126,0.25,0.396746023807936,0.0208333333333333,0.0416666666666667,1262.15881933727,3.91506828766137,0.0127791745610527,7
2,L,rm.2_fc.L,0.693073617021277,0.695,0.176683165369706,0.168457857711122,0.655954385363558,0.195210384186072,0.4265,0.524835529793223,0.208333333333333,0.363241578628389,0.0208333333333333,0.0416666666666667,1263.38422114153,5.14047009191813,0.00692484698913866,7
3,L,rm.3_fc.L,0.687429361702128,0.755,0.17432181169321,0.145000351972194,0.661914368409253,0.184225063041513,0.462,0.451558043518955,0.166666666666667,0.280541803843391,0.0208333333333333,0.0416666666666667,1259.42934116564,1.18559011602656,0.0500266540476435,5
4,L,rm.4_fc.L,0.685698936170213,0.766,0.170127900094411,0.126117492098298,0.660941983765932,0.178156630453099,0.41775,0.459667542904652,0.145833333333333,0.239356776939085,0.0208333333333333,0.0416666666666667,1258.24375104961,0,0.0905001042244972,4
5,L,rm.5_fc.L,0.683899574468085,0.779,0.175833678638015,0.127224490394527,0.65692661258902,0.182064460599158,0.413,0.448978841372286,0.145833333333333,0.239356776939085,0.0208333333333333,0.0416666666666667,1259.92813047613,1.68437942652076,0.0389843892008717,4
6,L,rm.6_fc.L,0.682331489361702,0.819,0.182567261072082,0.129826630571809,0.651857082634276,0.184921383597299,0.461,0.355586838901554,0.166666666666667,0.280541803843391,0.0208333333333333,0.0416666666666667,1259.2353494529,0.991598403286389,0.055122159313644,3
7,L,rm.7_fc.L,0.68073914893617,0.798,0.22307770112526,0.134128423108231,0.652464137276905,0.196546065569135,0.509,0.322075560492669,0.145833333333333,0.291666666666667,0,0,1260.9587080482,2.71495699858565,0.0232864699499745,3
8,L,rm.8_fc.L,0.680148510638298,0.817,0.23565404824432,0.129485068572151,0.645724060093867,0.205208642857148,0.475,0.265089921850429,0.145833333333333,0.291666666666667,0.0625,0.125,1260.42041796654,2.17666691693307,0.0304783789055497,2
9,L,rm.9_fc.L,0.680243829787234,0.817,0.187574611030248,0.169866942969899,0.558382413585612,0.189247150454591,NA,NA,0.166666666666667,0.280541803843391,0.0833333333333333,0.166666666666667,1262.33183973025,4.08808868063829,0.0117201157694321,2
10,L,rm.10_fc.L,0.680452127659574,0.833,0.228689158841227,0.175318544556864,0.540445704703403,0.205278006541732,NA,NA,0.1875,0.275336494466653,0.104166666666667,0.208333333333333,1264.47150245846,6.22775140885051,0.00402077752429211,2
